bucket,task_id,decomp_review_visits,outline_len,transition_len,unique_formulas,is_clone,submitted_at,recommended_action,outline_tail,transition_description
A1_no_outline,cfb56338-4a27-42d5-9e0d-9e59b2fa8640,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,25613ef5-50aa-4ab2-b49a-4ea4b4dc519a,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,a5f013b8-ef14-4437-bea0-630504093c40,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,d010dfa4-e4d0-42a5-a7f6-a3ef1e58e0e9,1,,,,true,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,c4ba7c97-5f2e-4e3e-8f63-3d68539868bc,1,,,,true,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,29ea5ad8-04b1-4dc4-8220-ae9df37ae12d,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,906892cf-1049-4c2d-99ef-404e461c776f,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,2a63059e-b08b-495f-90df-23bb38eccd3f,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,5da033e5-0b26-4526-afaf-8e71e57612a4,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,15a0ebf7-8354-4e97-bdfd-764a03bef9ee,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,1ef09f14-3119-434f-b561-884e196c6caa,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,27b833b2-b759-439b-aa91-db78616e22b8,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,92b20cff-2188-474c-b966-e33ada1437ee,1,,,,true,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,3d3b229e-0507-4539-8343-193a679d5f5c,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,8a8066ff-7624-4fc5-981f-52a666b28967,1,,,,false,,Send back to generating_outline. Nothing to review.,,
A1_no_outline,3d458c2a-cfe5-4a22-9f35-1c48780f5a38,1,,,,true,,Send back to generating_outline. Nothing to review.,,
